tutorialIndex,code,title,abstract$,goals,course,estimatedTime
0,AA1114,74Baaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,resumen1,goal1,Course4,1.30
1,AA1117,74Caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,74Caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,74Caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Course3,1.30
2,AA1115,74DTutorialTest1,74Caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,goal1,Course3,1.30
3,AA1116,74DTutorialTest2,resumen1,74Caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Course4,1.30
4,ABC9282,74DTutorialTest3,resumen1,goal1,Course3,1.30
5,ABC9284,74DTutorialTest4,resumen1,goal1,Course3,0.01
6,ABC9285,74DTutorialTest5,resumen2,goal2222222222222cddcd,Course3,999.99
7,AB9286,74DTutorialTest6,resum755689y88t---en3,goa---l2222222222222cddcd,Course3,100.01
8,AB9287,74DTutorialTest7,resum755689y88t---en3,goa---l2222222222222cddcd,Course3,2.10

