subject,assessment,link,startHour,finishHour,mark
Prueba de subject con 76 caracteres para eso tengo que añadir un poco massss,assessment valido,http://prueba.com,2023/02/20 11:20,2023/02/22 11:25,A
Prueba de subject con mas de 75 caracteres para eso tengo que añadir un poco mucho mas,assessment valido,http://prueba.com,2023/02/20 11:20,2023/02/22 11:25,A
,assessment valido,http://prueba.com,2023/02/20 11:20,2023/02/22 11:25,A
subject valido,Prueba de assessment que tiene que llegar a 101 caracteres para eso tengo muchas palabras aqui puesta,http://prueba.com,2023/02/20 11:20,2023/02/22 11:25,A
Subject valido,Prueba de assessment que tiene que pasar los 100 caracteres para eso tengos muchas palabras aqui puestas juntas,http://prueba.com,2023/02/20 11:20,2023/02/22 11:25,A
Subject valido,,http://prueba.com,2023/02/20 11:20,2023/02/22 11:25,A
Subject valido,assessment valido,htdtp://prueba.com,2023/02/20 11:20,2023/02/22 11:25,A
Subject valido,assessment valido,prueba,2023/02/20 11:20,2023/02/22 11:25,A
Subject valido,assessment valido,http://prueba.com,prueba,2023/02/22 11:25,A
Subject valido,assessment valido,http://prueba.com,·$&%,2023/02/22 11:25,A
Subject valido,assessment valido,http://prueba.com,2023/02/20 11:20,prueba,A
Subject valido,assessment valido,http://prueba.com,2023/02/20 11:20,·$&%,A
Subject valido,assessment valido,http://prueba.com,,2023/02/22 11:25,A
Subject valido,assessment valido,http://prueba.com,2023/02/20 11:20,,A
