enrolmentIndex,title,summary,activityType,startDate,endDate,link
0, , ,---, , , 
0,,,---,,,
0,Title 03,This text has more than 100 characters!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,THEORY,2022/07/30 10:00,2022/07/30 18:00,http://www.example.org
0,More than 75characts75characts75characts75characts75characts75characts75characts75,Test summary,THEORY,2022/07/30 10:00,2022/07/30 18:00,http://www.example.org
0,Ttle 01,Summary 01,HANDS_ON,2022/07/30,2022/07/30 18:00,http://www.example.org
0,Ttle 01,Summary 01,HANDS_ON,2022/07/30 22:00,18:00 2022/07/30,http://www.example.org
0,Z1 ÁÉÍÓÚ,ñ,---,2022/07/30 10:00,2022/07/30 18:00,www.example.org
0,End date null,ñ,THEORY,2022/07/30 18:00,,
0,Start date null,ñ,THEORY,,2022/07/30 10:00,
0,Start date later than end date,ñ,THEORY,2023/07/30 18:00,2023/07/30 10:00,
0,Start date earlier than current date,ñ,THEORY,2000/07/30 18:00,2022/07/30 10:00,
0,End date earlier than current date,ñ,THEORY,2030/07/30 18:00,2022/07/30 10:00,
0,Wrong date format,ñ,THEORY,2030/07/30,2030/07/31,
