courseIndex,code,title,courseAbstract,retailPrice,link
0,AAA001,titulo1,courseAbstract1,EUR 2.00,https://test.com
1,AAA002,AEsto es un título que posiblemente contenga 74 caracteres no sé qué poner,courseAbstract2,EUR 2.00,https://test.com
2,AAA003,titulo2,courseAbstract3,USD 999.00,https://github.com/ferbaqfer/Acme-L3-D02
3,AAA004,titulo3,Este abstract es bastante bastante largo ya que debe contener 99 caracteres si no llego meto una m,USD 0.01,https://github.com/ferbaqfer/Acme-L3-D02
4,AAA005,CCCvoy a dejar el link en nulo,Este es el abstract de un curso con precio 0,USD 0.00,
5,AAA006,AEsto es un título que posiblemente contenga 75 caracteres no sé qué poner,courseAbstract2,EUR 2.00,https://test.com
6,AAA007,titulo3,Este abstract es bastante bastante largo ya que debe contener 100 caracteres si no llego meto una m,USD 0.01,https://github.com/ferbaqfer/Acme-L3-D02
7,AAA008,무지개무지개,무지개무지개,EUR 2.27,
8,AAA009,titulo4,courseAbstract1,"EUR 1,000,000.00",https://test.com
9,AAA010,titulo4,courseAbstract1,"GBP 1,000,000.00",https://test.com
10,AAA011,titulo4,courseAbstract1,"USD 1,000,000.00",https://test.com
11,AA012,<script>alert('XSS')</script>,<div onpointerover="alert(45)">MOVE HERE</div>,EUR 0.00,						
12,AAA013,<scr<script>ipt>alert('XSS')</scr<script>ipt>,<svg/onload=alert(String.fromCharCode(88,83,83))>,GBP 0.00,						
13,AAA014,><script>alert('XSS')</script>,><svg/onload=alert(String.fromCharCode(88,83,83))>,USD 0.1,
14,AAA015,><script>alert(String.fromCharCode(88,83,83))</script>,<svg><script>alert('33'),EUR 0.001,
15,AAA016,<object/data=jav&#x61;sc&#x72;ipt&#x3a;al&#x65;rt&#x28;23&#x29><svg><script>alert&lpar'33'&rpar;,USD 2.4,
