tutorialIndex,tutorialSessionIndex,code,title,abstract$,startSession,finishSession,sessionType,furtherInformation
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/07/20 12:00,2023/07/20 13:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/09/18 12:00,2023/09/17 13:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/01/17 12:00,2023/01/17 13:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/09/17 12:95,2023/09/17 16:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/09/17/ 12:00,2023/09/17 13:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/09/17 1200,2023/09/17 1300,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/09/17 12:00,2023/09/17 13:00,THEROY_SESSION,HOLAA
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/13/17 12:00,2023/13/17 13:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/10/34 12:00,2023/10/34 13:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/13/17 12:00,2023/13/17 18:00,THEROY_SESSION,https://www.google.com/
1,0,ABC9125,AATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ATutorialSessionTestaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2023/13/17 12:00,2023/13/17 12:59,THEROY_SESSION,https://www.google.com/
