key,code,title,courseAbstract,retailPrice,draftMode,link,key:lecturer
course-01,AAB999,Course1,courseAbstract1,EUR 2.00,true,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-01
course-02,AAB998,Course2,courseAbstract2,EUR 3.20,true,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-02
course-03,AAB997,Course3,courseAbstract3,EUR 2.00,false,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-01
course-04,AAB996,Course4,courseAbstract4,USD 2.00,false,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-02
course-05,AAB995,Course5,courseAbstract5,USD 2.00,true,https://test.com,lecturer-01
course-06,AAB994,Course6,courseAbstract6,EUR 2.00,true,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-01
course-07,AAB993,Course7,courseAbstract7,EUR 2.00,true,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-01
course-08,AAB992,Course8,courseAbstract8,EUR 2.00,true,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-02
course-09,AAB991,Course9,courseAbstract9,EUR 2.00,true,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-02
course-10,AAB990,Course10,PrecioNegativo Para test del update,EUR -2.00,true,https://github.com/ferbaqfer/Acme-L3-D02,lecturer-02
